Tip_name,Floral_architecture_code
PAPILIONOIDEAE_Vigna_subramaniana_NI1135_JN008231,1
PAPILIONOIDEAE_Vigna_aconitifolia_Marechal104332_JN008217,1
PAPILIONOIDEAE_Vigna_stipulacea_NI1030_JN008230,1
PAPILIONOIDEAE_Vigna_mungo_NC050260,1
PAPILIONOIDEAE_Vigna_trilobata_NI958_JN008234,1
PAPILIONOIDEAE_Vigna_grandiflora_JP107862_JN008220,1
PAPILIONOIDEAE_Vigna_angularis_JP7298_JN008218,1
PAPILIONOIDEAE_Vigna_nepalensis_JP107881_JN008225,1
PAPILIONOIDEAE_Vigna_tenuicaulis_Marechal109682_JN008232,1
PAPILIONOIDEAE_Vigna_hirtella_JP109681_JN008221,1
PAPILIONOIDEAE_Vigna_minima_JP108810_JN008229,1
PAPILIONOIDEAE_Vigna_umbellata_CIAT4270_AF142701,1
PAPILIONOIDEAE_Vigna_friesiorum_NI1178_AY582997,1
PAPILIONOIDEAE_Vigna_membranacea_PI292867_JN008207,1
PAPILIONOIDEAE_Vigna_angivensis_Thulin11778_JN008213,1
PAPILIONOIDEAE_Vigna_vexillata_Thulin1451_JN008212,1
PAPILIONOIDEAE_Vigna_monantha_Thulin10617_JN008203,1
PAPILIONOIDEAE_Vigna_unguiculata_NC018051,1
PAPILIONOIDEAE_Vigna_monophylla_Richards8484_AY583015,1
PAPILIONOIDEAE_Vigna_triphylla_Thulin1617_JN008205,1
PAPILIONOIDEAE_Vigna_schimperi_Vg102_JN008206,1
PAPILIONOIDEAE_Vigna_nigritia_Nu612_JN008200,1
PAPILIONOIDEAE_Vigna_ambacensis_Nu166_JN008201,1
PAPILIONOIDEAE_Vigna_filicaulis_Vg818_JN008202,1
PAPILIONOIDEAE_Vigna_subterranea_USDAPI241993_AY589509,1
PAPILIONOIDEAE_Vigna_luteola_Salywon1235_JN008268,1
PAPILIONOIDEAE_Vigna_hosei_Nu20_JN008204,1
PAPILIONOIDEAE_Vigna_racemosa_GreinCIAT4574_JN008267,1
PAPILIONOIDEAE_Vigna_gazensis_Vg98_JN008211,1
PAPILIONOIDEAE_Vigna_lasiocarpa_SchultzeKraftCIAT4190_AY582993,1
PAPILIONOIDEAE_Vigna_longifolia_Novelo3298_AY582991,1
PAPILIONOIDEAE_Vigna_trichocarpa_Novelo2835_AY582992,1
PAPILIONOIDEAE_Physostigma_venenosum_Jongkind1792_AY582998,1
PAPILIONOIDEAE_Dipogon_lignosus_Gibson145_AY582988,1
PAPILIONOIDEAE_Lablab_purpureus_MN966634,1
PAPILIONOIDEAE_Spathionema_kilimandscharicum_Pasquet1063_AY582990,1
PAPILIONOIDEAE_Vatovaea_pseudolablab_PasquetV331_JN008194,1
PAPILIONOIDEAE_Dolichos_kilimandscharicus_Thulin3998_JN008184,1
PAPILIONOIDEAE_Dolichos_trinervatus_Hedren405_AY589506,1
PAPILIONOIDEAE_Dolichos_oliveri_Gilbert244_JN008183,1
PAPILIONOIDEAE_Dolichos_trilobus_unknownColl1961_AY582976,1
PAPILIONOIDEAE_Austrodolichos_errabundus_Clarkson8421_KX713082,1
PAPILIONOIDEAE_Nesphostylis_holosericea_Thoen5_AY582979,1
PAPILIONOIDEAE_Alistilus_jumellei_Thulin11787_JN008192,1
PAPILIONOIDEAE_Decorsea_schlechteri_NBGBX2915_AY582975,1
PAPILIONOIDEAE_Macrotyloma_axillare_MN966637,1
PAPILIONOIDEAE_Macrotyloma_africanum_NI1209_JN008188,1
PAPILIONOIDEAE_Macrotyloma_daltonii_Marechal4691_AY582973,1
PAPILIONOIDEAE_Macrotyloma_uniflorum_Thulin4748_AY589507,1
PAPILIONOIDEAE_Macrotyloma_ellipticum_Hendrickx8583_AY582974,1
PAPILIONOIDEAE_Macrotyloma_stenophyllum_Gilbert643_JN008187,1
